0,0,31449283|31610035|19667846|32748825,0,107478,ch_quest158_stage001|ch_quest159_stage001,0,4,mw_battlepass_billboard_000_a|mw_battlepass_billboard_000_b|mw_battlepass_billboard_000_c|mw_battlepass_billboard_000_d,1|0|0|0,1|1|0|0,0|0|0|0,,
61,8447376,24604693,1,176259,,0,1,mw_battlepass_billboard_061,0,0,0,,
62,8623635,29885975,0,177694,,0,1,mw_battlepass_billboard_062,0,0,0,,
63,8801329,27431022,0,179141,,0,1,mw_battlepass_billboard_063,0,0,0,,
64,8980470,31423431,1,180599,,0,1,mw_battlepass_billboard_064,0,0,0,,
65,9161069,25573093,0,182070,,0,1,mw_battlepass_billboard_065,0,1,0,,
66,9343139,350013,0,183553,,100,1,mw_battlepass_billboard_066,0,0,0,,
67,9526692,18080120,1,185046,,0,1,mw_battlepass_billboard_067,0,0,0,,
68,9711738,22654383,0,186554,,0,1,mw_battlepass_billboard_068,0,0,0,,
69,9898292,29332642,0,188073,,0,1,mw_battlepass_billboard_069,0,0,0,,
70,10086365,28959666,0,189604,ch_quest166_stage001,0,1,mw_battlepass_billboard_070,0,1,0,,
71,10275969,31550348,0,191147,,0,1,mw_battlepass_billboard_071,0,1,0,,
72,10467116,27498785|32647498|30805014,1,192704,,0,1,mw_battlepass_billboard_072,0,0,0,,
73,10659820,32109261,0,194273,,0,1,mw_battlepass_billboard_073,0,0,0,,
74,10854093,350013,0,195855,,100,1,mw_battlepass_billboard_074,0,0,0,,
75,11049948,26853995,0,197450,,0,1,mw_battlepass_billboard_075,0,0,0,,
76,11247398,17940631,0,199057,,0,1,mw_battlepass_billboard_076,0,1,0,,
77,11446455,27330986,1,200679,,0,1,mw_battlepass_billboard_077,0,0,0,,
78,11647134,28150952,0,202312,,0,1,mw_battlepass_billboard_078,0,0,0,,
79,11849446,31819511,0,203959,,0,1,mw_battlepass_billboard_079,0,0,0,,
80,12053405,25719930,0,205620,ch_quest167_stage001,0,1,mw_battlepass_billboard_080,0,1,0,,
81,12259025,20721218,1,207294,,0,1,mw_battlepass_billboard_081,0,1,0,,
82,12466319,350013,0,208983,,100,1,mw_battlepass_billboard_082,0,0,0,,
83,12675302,30886333,0,210683,,0,1,mw_battlepass_billboard_083,0,0,0,,
84,12885985,18820093,1,212400,,0,1,mw_battlepass_billboard_084,0,0,0,,
85,13098385,18013978,0,214128,,0,1,mw_battlepass_billboard_085,0,1,0,,
86,13312513,27033968,0,215872,,0,1,mw_battlepass_billboard_086,0,0,0,,
87,13528385,19262075,0,217630,,0,1,mw_battlepass_billboard_087,0,0,0,,
88,13746015,20576617,1,219402,,0,1,mw_battlepass_billboard_088,0,0,0,,
89,13965417,32256479,0,221188,,0,1,mw_battlepass_billboard_089,0,1,0,,
90,14186605,32857016,0,222989,ch_quest168_stage001,0,1,mw_battlepass_billboard_090,0,1,0,,
91,14409594,350013,0,224805,,100,1,mw_battlepass_billboard_091,0,0,0,,
92,14634399,18803540,0,226635,,0,1,mw_battlepass_billboard_092,0,0,0,,
93,14861034,21355685,0,228481,,0,1,mw_battlepass_billboard_093,0,0,0,,
94,15089515,21125552|27738066|32168617,1,230341,,0,1,mw_battlepass_billboard_094,0,0,0,,
95,15319856,22415806,0,232216,,0,1,mw_battlepass_billboard_095,1,1,0,,
96,15552072,32109261,0,234107,,0,1,mw_battlepass_billboard_096,0,0,0,,
97,15786179,25172627,0,236014,,0,1,mw_battlepass_billboard_097,0,0,0,,
98,16022193,350013,1,237935,,100,1,mw_battlepass_billboard_098,0,0,0,,
99,16260128,30712635,0,239872,,0,1,mw_battlepass_billboard_099,0,0,0,,
100,16500000,25341936|32277672|24332314|25164194,0,0,ch_quest169_stage001,0,4,mw_battlepass_billboard_100_a|mw_battlepass_billboard_100_b|mw_battlepass_billboard_100_c|mw_battlepass_billboard_100_e,1|1|0|0,1|1|0|0,0|0|480041|0,0|0|mw_battlepass_billboard_100_d_alt|0,
